,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
Ferrari	         575 M Maranello,,515,589,325,4,116,26,класс E             купе               Италия                     00                              3,35 000 /,2
Г,,"1,2",1,"1,4","0,9","1,4","0,6",,,
Ferrari	       Enzo,,660,657,350,"3,65",142,16,класс  R            купе               Италия                     00                              4                           widow maker            коллекция,45 000 /,1
Г,,"1,1",1,"1,5","1,2","1,4","0,6",,,
,дельта,,,,,,,,,
Renault	Laguna 1.8,,116,170,201,"10,6",79,36,класс B             хэтчбек                  США                       00                             1,8400 /,4
У,,"0,9",1,"0,9","1,8","0,8",1,,,
Renault         Scenic RX4    2.0,,140,188,180,"11,9",65,125,класс B             хэтчбек                  Франция                       00                            2,10 500 /,3
У,,"0,8","0,8","0,5","1,3","0,8","0,8",,,
BMW	          745i,,286,440,250,"6,6",72,41,класс  C            седан                  Германия                       00                             2                          комфорт,20 000 /,3
У,,"1,3","1,1","1,3","1,2","0,6",1,,,
BMW	            740d,,245,560,242,"8,4",72,41,класс C             седан                  Германия                       00                             2                          комфорт,20 000 /,3
У,,"1,3","1,1","1,3","1,5","0,6",1,,,
"Chevrolet   	Corvette Z06 ""1953 Commemorative Edition""",,405,542,277,4,93,29,класс D             купе              США                     00                             4                          коллекция,32 000 /,1
Г,,"1,2","1,2","1,5","0,9","1,2","0,6",,,
Porsche	            911 GT2,,462,620,315,"4,1",103,27,класс  E            купе               Германия                    00                              3                            widow maker,32 000 /,2
Г,,"1,2","0,8","1,3",1,"1,4","0,6",,,
Ferrari	Prodrive 550 GTO Maranello,,585,750,366,"3,2",125,11,класс   S           купе               Италия                     00                             5                       автоспорт,50 000 /,1
С,,"1,3","1,2","1,5","1,3","1,4","0,6",,,
,2004,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	                Clio,,74,127,185,"10,5",80,33,класс  A            хэтчбек                  Франция                       00                             1,5000 /,5
У,,"0,9","0,9",1,"1,9","0,8","0,8",,,
BMW                     Z4        2.5i,,192,245,235,7,102,23,класс  C            купе                  Германия                       00                             2,13 700 /,4
Г,,"1,2","1,2","1,4","1,5",1,"0,8",,,
Chevrolet	 Colorado 2.9,,188,258,169,12,44,168,класс  C            внедорожник                 США                       00                          2,13 900 /,4
В,,"1,1","1,3","0,7","1,6","0,7",1,,,
Porsche	    Boxster,,240,270,256,"6,2",118,26,класс C             купе                  Германия                       00                             2,16 300 /,4
Г,,"1,1",1,"1,2","1,5",1,"0,8",,,
Renault	           Clio V6,,255,300,238,"5,9",95,26,класс C             хэтчбек                 Франция                       00                            3                        hot hatch                widow maker,16 700 /,3
Г,,1,"1,1","1,2","1,4",1,"0,7",,,
Porsche	       911 GT3,,381,385,306,"4,5",123,24,класс  E            купе                  Германия                      00                             3,27 000 /,3
Г,,"1,2","1,2","1,3","1,1","1,4","0,6",,,
Porsche	            911 GT3 Clubsport,,385,388,307,"4,4",129,22,класс E             купе                  Германия                      00                             3                      автоспорт,28 500 /,3
Г,,"1,2","1,2","1,3","1,1","1,4","0,6",,,
"Lamborghini	Murcielago ""40th Anniversary""",,580,650,330,"3,9",109,55,класс R             купе               Италия                     00                              4                           коллекция,39 000 /,2
Г,,"1,4","1,3","1,7","1,2","1,3","0,8",,,
,бета,,,,,,,,,
Chevrolet	               Niva,,80,128,140,19,47,163,класс B             внедорожник                 США                       00                           1,8400 /,5
У,,"0,7",1,"0,7","1,5","0,7","1,1",,,
Ford	            Maverick,,150,200,171,"10,7",51,146,класс   B           внедорожник                 США                       00                           1,12 800 /,5
В,,"0,9",1,"0,6","1,1","0,8",1,,,
BMW	            X3 2.5i,,184,237,202,"11,1",64,128,класс  B            внедорожник                 Германия                       00                          2,14 000 /,4
У,,"0,8",1,"0,6","1,3","0,8","1,2",,,
Ford	    Thunderbird,,256,362,210,7,79,37,класс  C            купе                  США                       00                             3,15 700 /,3
У,,"1,4","1,3","1,5","1,6","0,8","0,8",,,
Renault	         Vel Satis 3.5,,241,330,235,"8,3",76,37,класс  C            хэтчбек                  Франция                       00                            2                            комфорт,16 800 /,4
У,,"1,2","1,2","1,1","1,5","0,8",1,,,
Porsche	  Cayenne S,,340,420,242,"7,2",71,142,класс D             внедорожник                 Германия                       00                            2,25 000 /,4
У,,1,1,"0,9","1,2","0,8",1,,,
BMW	            M3 CSL Coupe,,360,370,250,"4,9",105,25,класс  D            купе                  Германия                      00                             4                            коллекция,30 000 /,2
Г,,1,1,"1,3","1,2",1,"0,7",,,
Ferrari	Scaglietti 612,,540,588,320,"4,2",104,28,класс   E           купе               Италия                     00                              3                           комфорт,35 500 /,3
Г,,"1,5","1,3","1,3","0,8","1,2","0,6",,,
,ГАММА,,,,,,,,,
Ford                	Fiesta ST,,150,190,208,"8,4",90,28,класс B             хэтчбек                 США                       00                            1                        hot hatch,10 000 /,5
Г,,"0,7","0,9","0,7","1,5","0,8","0,8",,,
BMW	           325ti Compact,,192,245,227,"8,2",87,34,класс  B            хэтчбек                 Германия                       00                            2                        hot hatch,12 600 /,4
У,,"0,9","0,8",1,"1,4","0,8","0,8",,,
Chevrolet 	Monte Carlo SS Jeff Gordon Signature Edition,,205,310,229,"6,8",84,34,класс C             купе                  США                       00                             3                        коллекция,14 100 /,3
Г,,"1,2","1,3","1,3","1,3","0,8",1,,,
Renault	 Megane RS,,224,300,236,"6,5",97,33,класс  C            хэтчбек                 Франция                       00                            2                        hot hatch,15 500 /,4
Г,,"1,1",1,"1,1","1,4","0,8","0,8",,,
Chevrolet	      Tahoe 4WD,,288,440,170,"9,3",43,145,класс  C            внедорожник                 США                       00                            2,16 900 /,4
В,,"1,1","1,2","0,8","1,1","0,8","1,2",,,
BMW	            645Ci,,333,450,250,"5,6",86,32,класс D             купе                  Германия                       00                             2                  комфорт,21 000 /,4
